ean;stock;stock_proveedor
8434446838309;0;0
8434446838330;0;0
8434446845499;0;0
8434446845567;0;0
8434446845321;0;0
8434446845314;0;0
8434446844577;0;0
8434446844959;0;0
8434446844782;0;0
8434446844799;0;0
8434446845284;0;0
8434446844201;0;0
8434446847394;0;0
8434446847356;0;0
8434446847370;0;0
8434446847400;0;0
8434446847387;0;0
2430010093422;0;0
8434446847417;0;0
2430090093428;0;0
8434446847363;0;0
8434446847561;0;0
8434446847585;0;0
8434446847592;0;0
8434446847578;0;0
8434446637445;0;0
8434446637476;0;0
8434446637490;0;0
8434446637483;0;0
8434446637469;0;0
8434446637452;0;0
8434446637438;0;0
8434446637384;0;0
8434446637360;0;0
8434446637407;0;0
8434446637391;0;0
8434446637421;0;0
8434446637377;0;0
8434446637414;0;0
8434446637346;0;0
8434446637308;0;0
8434446637292;0;0
8434446637315;0;0
8434446637322;0;0
2430010093385;0;0
2430090093381;0;0
8434446637353;0;0
8434446637339;0;0
8434446774157;0;0
8434446774140;0;0
8434446774164;0;0
8434446782251;0;0
8434446782268;0;0
8434446782275;0;0
8434446782220;0;0
8434446782237;0;0
8434446782244;0;0
8434446636196;0;0
8434446774072;0;0
8434446774065;0;0
8434446774058;0;0
8434446778636;0;0
8434446635663;0;0
8434446637230;0;0
8434446637179;0;0
8434446637070;0;0
8434446636141;0;0
8434446636103;0;0
8434446635731;0;0
8434446635939;0;0
8434446635557;0;0
2430020093238;0;0
8434446635427;0;0
2430020093221;0;0
8434446635113;0;0
2430020093214;0;0
2430020093207;0;0
8434446635052;0;0
8434446634703;0;0
2430020093191;0;0
2430020093184;0;0
8434446634574;0;0
8434446555732;0;0
8434446555718;0;0
8434446555725;0;0
8434446555695;0;0
8434446555701;0;0
8434446555060;0;0
8434446554605;0;0
8434446555480;0;0
8434446554858;0;0
8434446554643;0;0
8434446555275;0;0
8434446554544;0;0
8434446554551;0;0
8434446554568;0;0
8434446554445;0;0
8434446848339;0;0
8434446848353;0;0
8434446848391;0;0
